term	file	line
GO:0006465	unirule2go	UniRule:UR000143759 > GO:signal peptide processing ; GO:0006465
GO:0006465	unirule2go	UniRule:UR000759776 > GO:signal peptide processing ; GO:0006465
GO:0006465	unirule2go	UniRule:UR001527780 > GO:signal peptide processing ; GO:0006465
GO:0006465	unirule2go	UniRule:UR002057146 > GO:signal peptide processing ; GO:0006465
GO:0006465	interpro2go	InterPro:IPR001733 Peptidase S26B > GO:signal peptide processing ; GO:0006465
GO:0006465	interpro2go	InterPro:IPR004634 Peptidase S49, protease IV > GO:signal peptide processing ; GO:0006465
GO:0006465	interpro2go	InterPro:IPR007653 Signal peptidase complex subunit 3 > GO:signal peptide processing ; GO:0006465
GO:0006465	interpro2go	InterPro:IPR009542 Signal peptidase complex subunit 1 > GO:signal peptide processing ; GO:0006465
GO:0006465	interpro2go	InterPro:IPR009582 Signal peptidase complex subunit 2 > GO:signal peptide processing ; GO:0006465
GO:0006465	interpro2go	InterPro:IPR019533 Peptidase S26 > GO:signal peptide processing ; GO:0006465
GO:0006465	interpro2go	InterPro:IPR033854 Signal peptide peptidase A > GO:signal peptide processing ; GO:0006465
GO:0006465	interpro2go	InterPro:IPR037730 Mitochondrial inner membrane protease subunit 2 > GO:signal peptide processing ; GO:0006465
GO:0006465	reactome2go	Reactome:R-HSA-159782 > GO:signal peptide processing ; GO:0006465
GO:0006627	interpro2go	InterPro:IPR037730 Mitochondrial inner membrane protease subunit 2 > GO:protein processing involved in protein targeting to mitochondrion ; GO:0006627
