term	file	line
GO:0000041	interpro2go	InterPro:IPR002751 Metal transport protein CbiM/NikMN > GO:transition metal ion transport ; GO:0000041
GO:0006811	interpro2go	InterPro:IPR000076 K/Cl co-transporter > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR000369 Potassium channel, voltage-dependent, beta subunit, KCNE > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR000622 K/Cl co-transporter 1 > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR001390 Gamma-aminobutyric-acid A receptor, alpha subunit > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR001508 Ionotropic glutamate receptor, metazoa > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR002289 Gamma-aminobutyric-acid A receptor, beta subunit > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR002394 Nicotinic acetylcholine receptor > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR002443 Solute carrier family 12 member 1/2 > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR002444 Solute carrier family 12 member 2 > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR002445 Solute carrier family 12 member 1 > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR002948 Thiazide-sensitive Na-K-Cl co-transporter > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR003044 P2X1 purinoceptor > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR003045 P2X2 purinoceptor > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR003046 P2X3 purinoceptor > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR003047 P2X4 purinoceptor > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR003048 P2X5 purinoceptor > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR003049 P2X6 purinoceptor > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR003050 P2X7 purinoceptor > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR004686 Tricarboxylate/iron carrier > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR004726 Degenerin > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR004842 SLC12A transporter family > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR005821 Ion transport domain > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR006029 Neurotransmitter-gated ion-channel transmembrane domain > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR006202 Neurotransmitter-gated ion-channel ligand-binding domain > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR008057 Gamma-aminobutyric-acid A receptor, Rho > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR008058 Gamma-aminobutyric-acid A receptor, Rho1 > GO:monoatomic ion transport ; GO:0006811
GO:0006811	interpro2go	InterPro:IPR008059 Gamma-aminobutyric-acid A receptor, Rho2 > GO:monoatomic ion transport ; GO:0006811
